Model,Acceleration Rate,SSIM
AFT-Net (I),16x,0.923909022
AFT-Net (I),16x,0.924472379
AFT-Net (I),16x,0.928025351
AFT-Net (I),16x,0.926014511
AFT-Net (I),16x,0.922921962
AFT-Net (I),16x,0.912471885
AFT-Net (I),16x,0.857617713
AFT-Net (I),16x,0.851414409
AFT-Net (I),16x,0.850753197
AFT-Net (I),16x,0.850083287
AFT-Net (I),16x,0.922945025
AFT-Net (I),16x,0.921345437
AFT-Net (I),16x,0.923819138
AFT-Net (I),16x,0.925396236
AFT-Net (I),16x,0.846262781
AFT-Net (I),16x,0.846137728
AFT-Net (I),16x,0.813209251
AFT-Net (I),16x,0.804608241
AFT-Net (I),16x,0.908307834
AFT-Net (I),16x,0.910985743
AFT-Net (I),16x,0.906332867
AFT-Net (I),16x,0.907728007
AFT-Net (I),16x,0.907173759
AFT-Net (I),16x,0.904853106
AFT-Net (I),16x,0.905294339
AFT-Net (I),16x,0.899168633
AFT-Net (I),16x,0.923651919
AFT-Net (I),16x,0.925111275
AFT-Net (I),16x,0.917865973
AFT-Net (I),16x,0.916657014
AFT-Net (I),16x,0.912656514
AFT-Net (I),16x,0.919736155
AFT-Net (I),16x,0.925441782
AFT-Net (I),16x,0.918558023
AFT-Net (I),16x,0.930412471
AFT-Net (I),16x,0.932975659
AFT-Net (I),16x,0.929614947
AFT-Net (I),16x,0.927612226
AFT-Net (I),16x,0.899546755
AFT-Net (I),16x,0.899017626
AFT-Net (I),16x,0.900042831
AFT-Net (I),16x,0.898817862
AFT-Net (K),2x,0.974834333
AFT-Net (K),2x,0.974237042
AFT-Net (K),2x,0.974126202
AFT-Net (K),2x,0.973793731
AFT-Net (K),2x,0.970462266
AFT-Net (K),2x,0.971596266
AFT-Net (K),2x,0.971244274
AFT-Net (K),2x,0.970753947
AFT-Net (K),2x,0.970204583
AFT-Net (K),2x,0.971149377
AFT-Net (K),2x,0.97107111
AFT-Net (K),2x,0.970445816
AFT-Net (K),2x,0.979357934
AFT-Net (K),2x,0.979608253
AFT-Net (K),2x,0.97933152
AFT-Net (K),2x,0.979354108
AFT-Net (K),2x,0.983440049
AFT-Net (K),2x,0.983202312
AFT-Net (K),2x,0.983573134
AFT-Net (K),2x,0.98344626
AFT-Net (K),2x,0.971140936
AFT-Net (K),2x,0.984873125
AFT-Net (K),2x,0.984688837
AFT-Net (K),2x,0.98546049
AFT-Net (K),2x,0.976996527
AFT-Net (K),2x,0.983052877
AFT-Net (K),2x,0.98335354
AFT-Net (K),2x,0.96892511
AFT-Net (K),2x,0.972440287
AFT-Net (K),2x,0.972653989
AFT-Net (K),2x,0.972780745
AFT-Net (K),2x,0.971936244
AFT-Net (K),2x,0.972022845
AFT-Net (K),2x,0.972063094
AFT-Net (K),2x,0.972530451
AFT-Net (K),2x,0.973013886
AFT-Net (K),2x,0.957855049
AFT-Net (K),2x,0.960569783
AFT-Net (K),2x,0.961297635
AFT-Net (K),2x,0.960461698
AFT-Net (K),2x,0.959417898
AFT-Net (K),2x,0.963160043
AFT-Net (K),2x,0.961759164
AFT-Net (K),2x,0.959422595
AFT-Net (K),2x,0.96919506
